"NAME","VPIP","PFR","CBET","AF","WSD","hands"
"2fda428d",0,0,NA,0.5,0,1
"a8d0fd97",29,14,0,3,0,8
"59422ef9",70,50,20,2.5,100,10
"ecb3ff17",63,42,12,0.75,50,19
"637eacac",57,14,0,5,100,7
"46ec5ae4",33,8,100,4,100,12
"de2a1fb9",17,17,100,2,0,7
"9a75984c",56,44,27,1.43,50,25
"79c8b84d",33,24,20,4,33,21
"51e3bfb4",60,25,8,0.75,62,48
"5640731e",72,39,29,3,40,18
"a9c28b46",100,0,NA,1,0,4
"aad3c8e3",68,28,0,2,29,42
"98dbc2a4",54,23,67,2.33,100,13
"5e1ab55c",75,50,50,3,0,4
"e92b3918",54,15,50,1.67,100,13
"49782e81",38,31,0,1,0,13
"2e99dac3",58,17,0,0.8,12,24
"7d16a9cf",42,11,0,6,62,42
"56ed546b",50,10,100,4,0,10
"8fa39c79",50,50,57,8,33,14
"8fddd969",100,33,25,0.17,33,17
"68cb68ff",79,43,33,5,0,14
"9aadfdcf",60,27,25,2,100,15
"6ed57b67",52,0,NA,1,50,23
"57a2926c",100,100,0,1,0,1
"e7a439ba",54,17,0,3.5,33,24
"84c411f6",59,18,0,1.67,57,24
"75c9d797",21,14,25,4,100,28
"836ffc6d",38,8,0,2.5,0,26
"379775b4",24,0,NA,1,33,34
"62c54eba",35,32,30,7,50,31
"2b23897e",41,0,NA,1.25,60,17
"5d3d4721",56,44,14,4,25,17
"17180e86",62,12,0,0.86,33,19
"2edcb31b",59,24,0,7.5,67,19
"f1890edd",39,33,17,1.67,100,37
"803aaf41",57,36,20,1,0,14
"858e387c",83,17,100,5,33,6
"0ea9baed",55,27,33,1.67,50,11
"8e6e06ac",100,100,0,0,0,1
"d06c3da5",40,12,0,3,25,25
"5e5a76df",55,25,20,2.5,33,20
"004afe29",80,4,0,1.5,56,30
"5e85c11a",38,20,0,1.43,30,61
"f5e88d0e",52,13,33,2,20,23
"7190fb45",73,27,0,1,100,11
"65ca0867",100,67,50,1,33,3
"bec62550",33,4,0,1,40,29
"5b5a95a9",57,50,0,2.5,67,14
"f785d880",33,17,0,0,0,6
"37443942",60,0,NA,1,0,5
"2dee2cae",47,20,33,2,14,30
"08769da8",71,29,0,1,0,7
"897cc848",50,45,30,5,50,22
"b5fca2f9",50,0,NA,3,0,9
"d69ba757",50,31,40,0.75,43,16
"2f89deb1",50,0,NA,0,0,8
"43e3cd14",22,11,0,1,0,9
"8d5c59c5",50,17,0,1,0,6
"cdc06305",46,21,0,2,67,28
"46430094",43,26,17,0.5,14,23
"31579107",62,34,10,7,50,30
"958d9c84",29,14,0,0,0,14
"791af35b",65,29,20,6,67,18
"1e439b31",56,44,12,1,50,18
"edd1f1ae",47,21,0,0.5,75,34
"c977ea84",32,23,20,2,17,22
"2c85fd84",70,30,0,1.5,100,10
"06262bc5",50,25,0,0,0,4
"867a90d9",72,36,8,0.45,50,38
"96ba0ad6",67,19,14,1.3,80,45
"0c1600a3",56,25,75,8.5,25,16
"d815a66f",11,0,NA,0,0,9
"761e13ec",56,56,11,4,33,16
"2bf5b58e",62,21,60,2.67,43,25
"729ca4df",63,33,11,1.75,67,28
"5d17254b",49,18,39,1.43,62,135
"a1f55488",73,18,0,1.58,57,45
"3ee41681",78,56,40,2.5,50,9
"28494c23",50,50,0,0,33,10
"ce36d9ab",50,50,100,1,0,2
"e84957ab",100,100,0,0,0,3
"81a22a05",57,22,0,0.5,50,23
"09e07751",47,11,0,1.2,40,19
"6dee7de9",46,8,0,1.67,20,26
"42026285",33,11,0,0,50,27
"31342566",42,28,25,13,44,44
"3d3aec2d",59,14,60,2,83,37
"7d1f8998",50,50,0,0,0,2
"2c820867",75,75,17,1,0,8
"1588ce54",48,34,0,1,100,29
"d4ddf418",74,15,25,2.6,50,27
"7e2b3b70",60,40,0,0.67,33,5
"c8fb47e5",48,8,0,0.88,0,25
"7f7a3854",64,41,33,3,44,28
"ca448178",33,33,0,0,0,3
"d97cd53b",11,5,0,2,100,19
"60e90efa",100,0,NA,0.5,0,3
"cf269688",60,40,0,3,100,5
"7924fdab",73,55,17,1,25,11
"5c6e99f0",75,33,50,3,40,12
"34325f1c",29,22,27,0.75,75,56
"395fb556",53,11,83,8,0,55
"9e74cd2f",42,10,0,0.89,57,62
"0612a8db",50,33,0,3,0,12
"91309440",62,50,50,3,0,8
"f7763709",40,26,22,2.33,40,35
"d9085b9c",68,14,0,3.67,57,22
"3bac906b",58,25,0,0.5,33,13
"b019325c",100,50,0,0,0,2
"d4cf1a34",69,46,19,2,40,46
"bf3bbca7",48,32,0,1,100,34
"313d3930",25,0,NA,1,NA,8
"cd728cac",60,60,0,1,33,5
"e4f88774",27,13,12,2,64,60
"1c5a2046",70,5,0,3.25,33,20
"faa86f11",59,41,15,0.75,50,32
"9ddc5410",0,0,NA,0,NA,1
"78179e22",100,0,NA,2,100,1
"27e237e8",61,22,0,0.6,33,18
"92fc6ee5",67,56,40,11,67,18
"7e3fd356",62,50,25,1,100,8
"64780f59",61,6,100,1.43,20,18
"cffda02b",100,100,0,0,0,3
"cb3c3281",35,10,0,0.5,0,24
"eb22f28a",55,20,10,4,50,53
"2385ba7c",62,28,0,3.33,33,29
"f2eeed14",71,14,0,5,50,45
"7d1a4623",45,36,0,0,0,11
"062efda4",46,8,0,1,67,24
"41739dc8",38,4,0,9,0,24
"e5f53bf1",57,57,50,5,0,14
"0466408f",75,42,0,2,100,12
"22bab189",88,88,0,0,100,9
"bf4db616",67,33,0,0,0,3
"010f4c6c",72,38,18,2.4,50,37
"656e9d15",53,18,0,2,75,55
"b08ae624",65,24,50,0.6,33,17
"9dfb6234",52,45,21,1.67,89,42
"0df257c4",92,31,50,5.25,20,13
"17133418",75,50,0,0.67,0,4
"f46b9a6f",71,21,33,2,33,14
"2419cab6",53,35,33,1.5,86,17
"a6064fd4",33,20,0,6,40,15
"52d65949",50,0,NA,2,0,2
"3f4439b3",18,14,0,2,50,23
"015e3839",47,30,0,3,0,30
"873710ec",100,0,NA,2,0,2
"af757932",43,29,62,2,50,28
"f8b2a73c",41,30,5,0.89,71,77
"10b19383",58,0,NA,2.2,43,13
"56922c0e",36,31,0,0,67,37
"86378a2d",38,5,0,0.83,50,21
"4e656daa",22,11,0,2,0,9
"d66f9b77",77,46,0,0.75,50,13
"13a7bb83",55,42,25,4.5,67,38
"e90cfd3d",47,13,50,4,0,15
"50bf982f",55,14,0,2,0,29
"5a9e39c7",57,33,30,2.67,60,32
"9910fb1f",22,17,0,1,33,18
"aa659341",76,64,0,2,60,32
"644e854a",64,27,33,5,0,11
"cc3f0815",91,45,0,0.5,100,11
"e384c002",17,17,100,1,NA,6
"43d86fa8",58,42,0,0.33,40,12
"58be122e",40,33,20,5,100,15
"e550171f",71,29,0,1.5,50,15
"b74413fe",26,5,0,0.33,33,20
"70ae2ec3",67,17,0,3,60,20
"e26752ad",52,14,0,1.17,50,21
"ea4a63ab",25,25,50,4,0,8
"56082a1b",100,100,0,0,0,1
"be5849a1",24,19,0,1,50,37
"8951fb92",80,13,0,0.5,36,15
"cb59ad25",62,12,100,1,40,8
"41e8390b",34,34,0,1,33,39
"b2e05d73",41,18,25,5,50,22
"f0d3e570",80,0,NA,0,NA,5
"966e8ac9",32,14,0,7,50,22
"044ebfb7",71,35,17,4,100,18
"ce30b2d7",33,33,0,0,0,10
"a0289042",48,37,5,3.5,56,60
"c854375b",89,78,0,0,0,10
"5a2fe43d",79,36,40,2.33,100,17
"68574890",57,26,33,5,60,23
"a15d2ea1",20,5,0,2,100,23
"da3d90d6",50,25,100,2,0,4
"cd5d47e6",49,21,0,4.5,67,43
"5ed13916",54,13,14,0.75,67,52
"4daa7bba",34,23,0,1.5,33,45
"92e1220d",50,50,0,0,0,2
"7ff7df56",50,0,NA,1,0,2
"b81aec0e",45,45,11,3,100,20
"d611579e",47,30,17,3.67,67,60
"5dd8c71c",55,40,12,3,100,20
"b15dcef6",35,5,100,4,100,20
"b95c3395",47,9,33,4.5,33,32
"2ec024f3",38,24,8,5,43,50
"95d0a8a0",36,21,0,2,67,14
"a577255a",75,55,18,1,57,20
"6de6bec3",20,5,0,5,0,20
"9c109d43",62,54,19,1.6,42,80
"2fcd4bc8",67,50,0,1,50,12
"f193e000",24,11,0,0.14,71,70
"cc1f2fc2",40,40,50,1,0,5
"a0aec406",40,31,18,3,67,41
"3b5fe6f3",37,14,20,1.33,67,41
"2fd4fd97",100,0,NA,1,0,1
"ba897543",58,4,0,1.45,30,48
"2c79dc1c",86,24,0,0.5,56,27
"a5da02c5",100,50,0,0,0,2
"0f5d7790",33,9,25,2,25,46
"57665254",52,30,43,3.5,67,24
"430cf1e6",67,56,0,0,25,9
"6a289360",45,28,38,4.5,50,31
"92d08737",60,20,25,1.67,67,22
"cbf35cf5",87,40,17,1.5,0,18
"baf37589",39,39,0,1,67,18
"e73ba586",61,6,0,4.5,67,18
"76ade46c",50,0,NA,1.6,100,13
"279673fa",33,0,NA,1,0,3
"1e387ea5",53,5,0,1.5,0,20
"c182e243",41,30,0,6,60,37
"79794a78",42,35,0,0.67,100,37
"de6369cd",38,12,100,3,0,8
"f4de25bc",35,24,14,1.09,50,88
"2a9065db",33,0,NA,2,0,3
"e212c119",48,40,10,6,50,25
"be25a703",53,7,0,2,0,15
"3d95ca8b",56,26,0,1.5,62,27
"dd3936af",71,7,0,0.89,17,14
"5d4f56e8",52,36,8,1.6,70,34
"631434ae",50,25,100,2,0,4
"a74e5646",75,38,100,9,40,8
"5942a136",75,0,NA,0.12,60,8
"4929fad5",25,8,0,2,0,12
"b9b27194",61,49,20,1.18,43,57
"3201dd0c",57,57,0,0,33,7
"16b1b577",92,65,47,21,50,26
"783c6567",90,90,0,0,100,10
"c0e0354d",38,0,NA,0,0,8
"c014c8b5",70,40,25,2,67,12
"9ce10435",100,100,0,0,33,4
"4a0ce736",37,3,0,1.27,45,37
"da0149e3",37,16,33,1.2,60,23
"b58f5649",58,33,25,2,0,12
"a93a5526",39,28,0,0.5,0,18
"09c28cc5",50,17,0,1,50,18
"065e08b2",51,38,7,1.4,25,39
"9d72b7e5",29,12,0,2.5,25,24
"a778be11",64,27,33,1,33,11
"900aa28b",40,40,25,4,40,10
"6ce617c1",70,24,25,1.8,56,43
"7b26dd26",56,33,0,2,33,9
"cf458cdc",64,25,14,3,67,40
"df882189",75,50,0,0,33,4
"1e5329eb",50,24,0,1.67,58,46
"12ef7ccf",75,33,50,1.5,100,12
"82b57051",58,25,67,6,NA,12
"71fb40d2",36,27,33,3,33,11
"5fa87ae2",61,11,100,0.89,75,19
"09ac5e65",67,13,50,9,100,15
"2c1cce91",46,23,33,4,100,15
"6f75aeed",100,50,0,3,100,2
"d92b69fd",0,0,NA,0,NA,2
"95fbc8f5",80,20,0,0,100,5
"ee70450c",59,53,33,2.8,40,54
"6d9be133",33,25,0,1,0,12
"e2c584e9",63,43,15,1.33,33,30
"0217df8d",75,25,50,3,33,8
"99e5458f",50,25,0,1.31,45,40
"56a2b71b",60,0,NA,0,50,5
"194f41d5",60,20,0,3,50,5
"4eb11015",60,0,NA,1.4,50,10
"f610dadb",70,30,67,1,75,10
"acade5c0",45,12,0,2.5,100,38
"b1341e7b",38,22,0,7,0,32
"8a2693dc",100,33,0,0,0,3
"64ff26cc",40,33,20,5,80,15
"d067c4ba",73,60,44,2,80,15
"b37f579c",80,40,25,1,0,10
"de975f74",60,20,0,2,100,15
"4736251b",57,50,14,2,75,15
"c6d58113",100,100,100,1,0,1
"dd2d0a63",78,33,67,6,100,11
"44b55406",66,13,0,2.13,59,82
"9edecddd",57,57,25,2,0,7
"e0b06482",52,28,38,0.83,36,29
"bff5db8c",53,29,0,0.5,25,17
"32ca6a17",51,31,17,4,100,39
"b47d6fc4",34,17,14,3.5,55,126
"b7859a08",100,100,100,1,0,1
"5c3b9dc8",71,19,25,2.33,60,21
"c6a4a51a",100,0,NA,0,0,1
"572caf98",67,67,0,0,NA,3
"e0048822",100,67,50,4,100,3
"d2807c20",38,25,21,4,43,57
"112307f1",100,100,100,1,0,1
"893aaacd",45,45,60,3,50,11
"6ad6fe46",45,18,0,1,100,11
"e92ba41a",56,41,9,0.86,17,27
"5db0a4fe",17,17,0,0,0,6
"8cc01d1d",41,24,0,4,67,17
"d6a9e674",47,12,50,0.4,33,17
"3739cf93",71,43,0,1,0,7
"0b93abed",100,67,50,1,0,3
"83feb89f",33,17,0,1,100,6
"372a44af",100,0,NA,0,0,1
"97fd585d",60,40,0,1,0,5
"f9ca357a",35,31,0,0,67,37
"4a64cc68",83,67,25,2,100,6
"40c82308",50,50,0,0,0,2
"49988820",67,0,NA,4,100,3
"2e0f25fe",54,10,0,1.83,80,39
"f38cd94b",37,22,33,6,0,27
"9e91638e",50,15,29,3,29,46
"061f1cc9",43,2,0,1.67,71,46
"980e2856",30,22,0,5,0,27
"e8e96772",44,33,33,1.33,100,27
"e36f635a",48,26,0,1,75,27
"5cbd534c",33,15,25,3,33,27
"15c112df",27,27,0,1.25,33,14
"052d67e0",50,0,NA,3,0,2
"b3b69b81",54,4,0,13,50,28
"a2bee868",4,0,NA,0,NA,25
"a3ebb758",44,0,NA,0,25,9
"03707f55",50,25,33,3,75,12
"8ecf6a47",67,0,NA,0.75,25,7
"3858685e",41,14,0,3,60,22
"b6ffab5c",65,20,0,3,60,20
"4ec4c7d4",50,50,100,2,100,2
"82f56c88",20,20,0,1,100,5
"bb70e847",25,25,50,1,0,8
"ef6dc3e4",69,0,NA,1.3,38,26
"72189da5",40,30,33,4,0,10
"f84cef5a",61,17,0,2,75,20
"d5e24641",100,100,0,0,0,1
"129cf74a",48,48,12,1.43,57,33
"86c8f78a",67,17,0,6,50,12
"9ec3fc89",47,27,0,1,67,15
"dedba0fb",77,38,0,4,25,15
"753b4ce4",38,0,NA,0.38,0,8
"6d051da4",42,10,33,3,100,31
"c82eee5e",61,33,17,7,60,18
"274ba8d3",83,33,50,6,33,6
"df23a933",64,21,33,4,50,14
"7b6f2255",50,43,33,5,100,14
"64b483aa",41,23,20,0.57,33,23
"0de88e14",56,25,17,7,67,53
"2a61beeb",50,50,0,2,0,10
"446c41f4",37,26,20,2,75,19
"8defef89",66,22,14,1,71,36
"7798b176",52,22,0,7,25,23
"e13b8617",73,18,50,1.25,0,11
"da181bb6",0,0,NA,3,0,1
"d07bcadb",80,40,10,1.67,62,34
"08ccb9e3",50,29,25,5,33,14
"90e51226",67,17,0,1.67,60,6
"66012283",43,23,12,0.78,56,35
"bb00d86d",64,9,0,6.5,40,11
"23515a0e",0,0,NA,1.5,0,7
"55f4ee4c",75,50,0,0,0,4
"719b9a86",43,24,40,1.86,80,24
"9b306739",56,11,0,2,33,27
"319a1a1b",33,14,33,2.5,0,21
"ea2cdb02",100,0,NA,3,0,1
"5c39b8e7",70,63,0,1.33,71,31
"932c3221",42,8,0,0.33,0,12
"3173d1bc",29,0,NA,1,0,7
"8f9e968c",40,10,0,5,0,10
"784a2090",75,19,0,5,73,20
"27c6667e",100,67,50,0.25,0,4
"503e93d9",50,33,25,3,0,13
"1a4d19cc",27,12,33,2,50,26
"3cb21e9b",25,17,25,1,57,24
"5dbbe097",62,24,14,0.44,33,31
"7c9c77ef",75,50,50,4,0,4
"41d9c197",100,100,0,0,0,1
"e930fcf5",100,0,NA,0,0,1
"d0996ab2",0,0,NA,0,0,1
"29ca0973",36,25,14,2,100,28
"31faf957",48,40,20,3.5,62,28
"da5c5505",64,0,NA,0.33,33,11
"ebb4d454",75,8,0,1.25,50,14
"e58cf3b7",60,60,0,1,0,5
"b8acfa86",100,100,0,0,NA,1
"5af6536b",100,0,NA,0,100,1
"92430dae",63,26,20,1,43,19
"70e7c8dd",60,20,0,1.5,0,5
"ffdda14f",40,12,0,0.6,100,25
"6600bc62",52,5,0,2.25,40,24
"23fd7ecf",0,0,NA,1,0,1
"741872da",46,0,NA,1.17,78,28
"882422bf",50,50,0,0,50,2
"c21c50f9",53,24,0,1.8,33,17
"9f81c780",33,22,15,2.5,56,58
"d3d6e140",75,50,25,3,100,8
"a9c85795",12,0,NA,0,NA,8
"6258449c",56,33,0,1.5,25,9
"d1069cc1",64,0,NA,2.5,50,11
"3ff134cf",43,14,0,2,60,14
"f88057a6",47,33,20,2,50,15
"d1121ea2",71,50,0,0,33,14
"2bcd0b4c",32,26,0,4,33,36
"45f05151",44,16,0,3,100,25
"15a9349f",36,7,0,0.67,0,15
"235eeed9",29,21,6,7,50,82
"0bf9035b",50,17,100,5,0,6
"ba303d3d",44,44,75,2,100,9
"61bef563",67,11,0,2.5,100,9
"6856972a",43,26,0,3,20,42
"756930d6",48,16,25,0.62,89,25
"26ad2aa8",43,43,0,3,0,7
"74f6e595",80,20,0,1,50,5
"2ea0f6e1",0,0,NA,0,NA,1
"1745950d",29,12,0,0.33,25,17
"14152ced",35,15,0,11,100,35
"bee4224e",62,38,20,5,20,13
"074cf29b",72,17,33,0.6,56,18
"f453303d",100,0,NA,0,0,1
"ab531367",100,100,0,0,100,1
"b7197218",40,20,0,0,NA,5
"2ba2a23a",80,60,0,0,100,5
"5729f5b2",80,25,20,0.88,75,23
"a4fe6dca",100,100,0,0,0,1
"58fb35f9",42,26,40,2.67,50,19
"beb0b810",100,100,0,0,0,1
"d5cc4c0b",42,33,50,5,100,12
"2d95aec4",62,12,0,1,0,8
"2308238d",38,12,0,2.5,50,24
"3c987817",40,30,33,2,0,10
"7a8b0a1d",71,0,NA,0.5,50,7
"c1ce28a2",100,0,NA,0,100,1
"2f78ebdb",0,0,NA,0,NA,1
"b07ffab5",60,0,NA,0,0,5
"cdbd0922",40,20,100,1,100,5
"3ed56f85",50,25,0,1,NA,4
"b23b3bfb",75,0,NA,0,100,4
"9cdeaa93",75,0,NA,0,0,4
"b3787a8e",50,39,43,4,100,18
"18fddf65",56,0,NA,2,50,18
"ef442ef8",36,29,50,3,100,14
"d8f54f43",100,0,NA,1,100,1
"6f384703",29,14,0,2,100,28
"ac24e4a0",36,14,0,6,NA,28
"0f632dc7",100,50,50,8,100,4
"47c73574",50,0,NA,0.25,100,4
"123daf8a",34,21,0,1.33,56,62
"789905d4",100,50,100,1,100,2
"0970f629",100,100,0,0,0,1
"bf9ca008",33,22,0,0,0,9
"1c73ec70",52,24,25,2,50,33
"56e63d0c",59,22,17,1.33,86,27
"297348e8",67,67,0,0,0,3
"30bf4550",73,37,7,0.83,38,49
"94e2d0ae",37,21,75,5,0,19
"35e454fa",76,44,45,3.5,33,25
"02efc4cd",100,50,0,0,0,2
"19ecaf2b",58,10,0,1.2,62,31
"e4acf638",50,50,0,0,0,2
"c71dcae0",59,18,50,2.2,38,22
"cb4071a3",0,0,NA,0,NA,1
"962cf4cb",40,30,67,2,NA,10
"1134b0ff",60,30,0,0,100,10
"e3359934",71,43,33,2.5,75,7
"0fc1cd09",57,29,0,1.5,50,7
"eb7a9856",45,13,43,1.33,62,55
"9d9f8e61",43,29,100,1,0,7
"24acde18",22,22,50,3,0,9
"2af59248",63,26,22,1.2,38,38
"ca565d6f",83,33,50,3,NA,6
"df9fd631",50,33,50,1.5,100,6
"c062c1e5",32,5,0,1,50,20
"19a3d61d",45,12,0,2.6,17,42
"3dddbea6",50,35,11,1.5,71,26
"cb7dfbf3",59,0,NA,1.4,17,22
"16821774",67,67,50,1.5,0,3
"a9547a37",58,8,100,2.57,29,26
"e673ece7",47,23,10,3.8,80,43
"d211e1d6",74,47,22,1.17,75,19
"3a2f983b",100,50,50,1,100,4
"dacfbbcf",36,18,50,1,100,11
"83f41842",33,8,0,1.5,0,12
"30dd3172",42,19,17,1.4,60,31
"c55854c0",48,16,0,1,17,44
"b2815f96",48,13,67,2,50,23
"3f76bdeb",37,26,0,0.67,0,19
"4b43dea3",30,20,0,0.5,100,20
"17786a23",87,40,17,1.33,17,15
"cf9148a1",50,7,50,2.67,67,28
"9a240faa",100,100,25,1,0,4
"5228cef3",33,22,50,0.67,67,9
"a79ac5bb",70,0,NA,2.75,20,10
"16758607",4,0,NA,0.2,100,26
"6acd5f87",46,21,17,2.4,83,28
"66b22c9a",36,0,NA,0,50,11
"6be628f4",50,50,0,0,0,2
"b3b7da89",60,60,33,2.5,100,5
"3d5d5cf1",85,0,NA,1.33,50,13
"459f116c",38,8,0,2.67,33,13
"ddfa8fff",90,20,25,2.5,25,20
"0b3e5b6f",54,17,25,0.86,100,24
"94cbc288",80,0,NA,2,0,5
"964b2a5a",50,0,NA,0,25,10
"d51e5e75",43,29,0,0,0,7
"85164a26",67,33,0,1,0,3
"c63cad2f",71,71,60,7,100,7
"11199eb0",67,17,0,0.33,0,6
"1b403dcd",43,14,0,2,0,14
"fe42a987",33,33,0,1,50,9
"56072627",71,43,0,4,0,7
"7ade6c70",47,20,33,2.5,0,15
"ca83a7f1",21,16,33,0.5,50,19
"7c3aba50",47,24,0,1,100,19
"8683bd6e",100,0,NA,1,NA,1
"aab0f555",0,0,NA,0,100,1
"c68b7fde",55,27,50,1,86,22
"f89ef600",53,33,20,3,100,15
"4ddf6ff4",53,0,NA,1,50,15
"f7109c03",50,6,0,2,60,16
"a49ba1d7",25,0,NA,5,67,16
"53bff7da",100,100,0,0,0,1
"ea2c11cd",31,23,0,2,67,13
"224c9255",44,11,0,0,0,9
"73b62397",44,22,0,2,0,9
"59a302e3",42,4,0,8,33,24
"ef9212ac",34,24,0,1.6,64,89
"dd8b08d1",38,35,11,2,75,26
"34456815",69,69,56,9,67,13
"dec3633d",64,36,50,7,50,11
"428df047",64,0,NA,0,100,11
"2951c8bd",60,60,33,1,0,5
"2f13fab1",62,12,100,0.75,100,8
"6b09c9aa",42,11,0,2,40,19
"ceb66ef6",58,26,20,1,50,19
"46c2bd23",56,33,33,1.33,75,11
"3b252211",62,50,25,2,0,8
"6197f815",67,0,NA,0,0,3
"ea7bb99f",100,100,75,3,100,4
"799aa407",31,25,25,1,0,16
"e0cf1443",65,0,NA,6,100,17
"ae2cd8fa",100,0,NA,1,100,1
"6aeea11a",0,0,NA,0,NA,1
"947dad95",83,17,0,1,67,6
"e987a0df",50,17,0,2,67,6
"c6b0697a",55,18,0,4,33,11
"fdcf7fef",44,44,0,0.67,0,9
"6170e8ae",62,38,0,1,0,13
"71e0e02e",40,20,7,8,71,70
"094c7bf6",88,88,43,4,100,8
"7f09836e",100,0,NA,0,0,1
"51877b66",64,55,17,1,25,11
"72e114d0",0,0,NA,0.5,0,1
"2284863c",100,75,33,4,100,4
"d2afec09",100,25,0,0.67,0,4
"f18c63a0",73,27,33,1.25,0,11
"3c6b87fb",41,27,17,0.8,50,22
"6bb95f39",100,50,0,3,0,6
"fface2f4",52,39,23,8,40,33
"1973b70c",78,56,20,1.5,20,9
"dafd6073",50,31,0,2,100,19
"14e9f7ab",100,50,0,1,0,6
"ca753a6a",62,50,0,1,33,8
"5e0482fc",67,67,0,0,0,3
"ac9db3b9",64,27,33,0.83,20,11
"b0842b0e",0,0,NA,2,0,1
"9244b549",73,35,0,1,50,26
"93129bbe",100,100,100,2,0,1
"8350baaa",43,6,33,1.8,88,51
"6076a306",41,14,33,1.5,25,22
"27450ef5",56,33,17,1.67,57,18
"e5d88c4c",70,50,0,1,60,10
"670b0bab",67,17,0,1.5,100,6
"89924c85",50,17,0,0,NA,6
"36b74e8a",100,100,0,0,100,1
"2e7b79d1",0,0,NA,0,NA,1
"659e0b9f",33,0,NA,7,100,18
"d96b9c70",24,6,100,3,0,17
"89c3ae3b",42,33,50,2,100,12
"72709d7a",75,75,0,0.75,0,4
"0aa6336a",33,11,0,1,100,9
"459c9e87",38,25,0,0,100,9
"b2604ae8",89,22,50,1.75,50,9
"57939e0f",56,22,0,2.33,75,9
"ad8806b8",42,19,0,0.8,50,26
"bde09018",38,12,0,4,0,8
"9e23e135",33,0,NA,0,0,4
"d61ae3cf",75,50,50,0.5,100,4
"a20de232",40,12,0,5,0,25
"8f994e8f",51,37,31,2.5,0,35
"bbe1c310",38,38,17,0.25,33,16
"a563ce4c",50,0,NA,0,NA,2
"07e4362e",50,0,NA,3,100,2
"1120c250",37,26,8,1,62,58
"5e641b88",50,0,NA,0.67,0,4
"2d3f9676",22,0,NA,0.43,83,55
"bac44430",53,0,NA,0.88,43,55
"c916f21c",42,33,36,1.12,57,43
"48d0c5a4",80,0,NA,5,0,10
"3866c12e",73,33,0,0.45,33,15
"bf76577e",100,38,50,4.67,100,16
"66ffece5",67,17,0,0,0,6
"6e57b123",54,36,21,1.25,100,39
"a9f5df96",100,50,0,0,0,2
"1f39bf0a",50,10,0,1.83,60,50
"f7ea2899",50,19,0,0.33,25,17
"f34dc122",67,0,NA,2,0,3
"61da886b",40,40,50,1,100,5
"a3e839d0",20,0,NA,2,NA,5
"4f6f473f",60,20,100,2,100,5
"54e7a6fc",44,28,40,3.5,25,18
"c42c7509",92,38,20,1,40,13
"866251f8",50,20,0,2,0,10
"2e1cabcd",50,39,7,1.33,60,38
"6bbe92d1",38,0,NA,0,NA,8
"402231be",100,62,0,0.5,100,8
"fb678e83",50,50,0,0,100,2
"04bc363a",50,50,0,0,NA,2
"0ead09a2",40,20,0,0,0,5
"6f3c3489",65,40,12,1,80,20
"14cdb773",100,100,0,0,0,1
"75742fb5",50,18,0,5,50,22
"ccdbe24e",100,50,0,2,0,2
"5062f5af",66,45,23,0.55,57,36
"85664405",36,18,50,3,0,11
"cfe32518",74,5,0,3,33,19
"344920a0",0,0,NA,0,NA,1
"ce942d8f",72,56,57,3.6,43,28
"cb7f41a3",48,0,NA,0.78,40,23
"905c93c4",30,10,50,5,25,20
"0a2b8f45",39,24,0,9,100,59
"81d60f34",45,10,0,2.33,33,20
"6e3f7d50",56,36,22,5,0,25
"4f0beb5a",71,29,0,6,0,7
"ad51392c",48,20,40,4.5,25,25
"2a08f8bd",42,21,0,4,67,38
"8b91743d",69,0,NA,5,20,13
"3cc9af93",33,33,0,0,0,9
"601e69c2",100,100,100,1,0,1
"8c50f66b",48,19,0,1,100,42
"353435d0",67,33,0,2.67,50,18
"be105937",33,0,NA,1,NA,3
"bee426e7",33,17,33,1.25,33,18
"bfaa3a46",50,6,100,4,50,18
"175857b8",82,73,38,1.5,100,11
"ddb7d4dc",50,25,0,2,0,8
"6f654564",57,14,100,3,100,21
"c6145560",100,100,100,1,0,1
"67db6671",75,25,100,3,0,4
"ceba8850",75,0,NA,0.67,100,4
"d46418f3",64,0,NA,0.86,33,11
"b35b7996",43,0,NA,0.8,60,21
"1027cb35",35,12,0,0,100,17
"e8bb9e90",41,35,0,1.2,0,17
"43768e07",75,25,100,1,100,4
"94222e49",25,0,NA,0,100,4
"bb4a678a",75,25,0,1,100,8
"c977e78c",50,12,0,1,NA,8
"1f7c28f5",71,57,0,1,100,7
"e6cc543f",100,0,NA,8,0,7
"0e687310",76,32,9,1.57,60,34
"9152b228",83,17,0,1.33,0,6
"48a19b09",67,22,0,1.33,0,9
"b0977ff8",43,14,100,0.5,0,7
"514da393",59,44,25,0.75,80,27
"346b2ca9",38,0,NA,1,100,13
"f740139a",75,25,0,3,NA,4
"8451d49d",50,25,0,1,100,4
"65f5b052",45,36,25,1.33,67,22
"3baf7bdf",50,15,0,1,70,48
"ca5ab8b9",55,27,0,0.5,0,11
"931bc051",52,22,12,1.19,71,76
"0a2c29bb",43,29,50,1,NA,7
"e3614e72",57,29,0,2,100,7
"dfe23a6e",67,0,NA,2,100,6
"af054027",100,0,NA,0,33,7
"4b18adca",43,29,50,1.67,0,7
"82c716c9",30,3,0,1.17,50,33
"1c31ebf3",85,60,8,4,44,20
"514c93fd",57,29,100,2,0,7
"617d8ec5",100,12,0,0.33,40,8
"25c7e150",60,60,44,6,NA,15
"fa6391f7",47,13,0,2,67,15
"b11f9d4d",29,7,0,0.25,0,14
