"NAME","VPIP","PFR","CBET","AF","WSD","hands"
"a0f97563",49,37,0,1.2,100,41
"af64bd75",100,0,NA,0,0,1
"c9d175d2",80,50,20,0.8,75,10
"32ea156e",58,5,0,0.6,56,19
"d2d71246",42,16,33,0.33,67,19
"0f8bad68",64,26,0,0.25,64,39
"78284775",33,33,33,2,50,9
"d58b33d5",100,0,NA,1,0,1
"7ad38aca",50,25,0,3,50,4
"98a56322",78,22,50,11,0,18
"e2bf18dd",55,10,25,1.11,40,40
"33be7bdd",55,45,0,2,0,11
"5f847a12",79,50,29,4.5,50,14
"49ec82df",46,15,0,1,NA,13
"985cb98b",54,46,33,1.2,33,13
"fd9a6324",50,5,0,3.5,100,22
"9e31aba4",56,22,0,0,0,9
"226fe86e",41,18,25,0.8,40,22
"ca1d7b87",75,0,NA,5,100,4
"90827fc9",56,20,0,0.5,83,25
"695951d0",33,17,25,1.5,0,24
"64d02c6a",67,33,0,0,0,3
"08d367df",56,56,11,1,57,16
"c74c332b",44,22,3,0.9,55,154
"34b9d740",91,36,0,2,43,11
"6a7959cf",42,33,75,6,100,12
"db5e3699",58,8,100,0.78,100,12
"22c5ab8c",62,14,0,0.43,50,21
"33b88173",50,20,50,2.33,57,21
"c6118cc7",0,0,NA,0,NA,2
"f9cb581e",50,0,NA,0.2,100,2
"bae55fa4",75,12,0,0,0,9
"2b27c8f7",59,15,29,2.5,75,46
"01db96ac",43,21,0,0.5,75,14
"06f47443",50,10,0,1.5,100,14
"ee287b41",53,33,20,0.67,67,15
"70a97d62",100,0,NA,0,0,1
"a5418e0b",50,23,29,0.4,50,30
"9079922a",40,12,0,3,50,25
"9cf6b0a0",35,32,22,1.8,77,85
"d715057c",33,20,0,0.6,100,15
"d34ef373",37,16,33,1.67,0,19
"6deb64ba",73,12,0,1.4,78,33
"716f1be5",50,40,25,2,33,10
"4ec97075",40,20,0,0,100,10
"890fcf6a",43,18,20,11,67,28
"9b0eb39c",40,40,50,3,50,5
"43610986",55,3,0,0.5,44,33
"e71249f3",34,19,17,1.12,60,32
"ae341cce",35,12,0,0.11,100,17
"bc55d413",24,12,0,4,0,17
"561c5278",37,26,0,0.5,60,19
"b4a128fd",67,33,0,0.5,0,12
"446e1bd5",42,23,0,1,50,52
"41526ca7",55,30,0,0.25,40,20
"7fe01549",48,45,11,1.6,50,40
"151b9c67",100,100,0,0,0,1
"a62c6be4",42,25,17,5,33,24
"5dd1acd5",39,16,8,2.88,50,76
"ba76323b",56,28,0,1,100,18
"77107e13",31,31,25,3,50,13
"5f2387e7",100,0,NA,0,0,1
"0a5f40e0",62,38,67,3.5,67,8
"46ad19dd",62,0,NA,0.62,67,8
"e4f12c75",60,50,0,0.25,100,10
"d7f98bd8",40,20,0,4,33,10
"72dfdabc",62,14,67,0.58,83,21
"3f862057",33,33,50,0.2,0,6
"af4d369a",25,7,0,0.33,33,28
"f2b84b2a",78,20,11,2.27,45,51
"84b1dc79",50,0,NA,3,0,8
"b60ec19e",49,35,21,2.67,73,55
"43144504",59,24,0,0.83,50,17
"dbe995ff",18,18,0,0,NA,17
"937d8711",67,33,100,2,100,3
"5c602edb",30,30,33,1,NA,11
"02d99064",27,27,0,3,100,11
"315eee86",100,100,0,0,0,1
"6698e961",55,39,17,4.5,67,31
"3a25d8e7",47,21,14,1.88,29,34
"321c5165",78,11,0,1.6,0,10
"32335c4f",54,23,0,1,50,29
"e30e6424",54,14,0,0.64,62,37
"d98a385a",31,6,0,1,0,16
"4c2ae2c8",54,25,17,1.3,60,24
"42ac97cd",100,100,100,1,0,1
"54fc4eaa",53,12,25,5.5,50,32
"125c439c",100,100,0,0,0,3
"4fe4e5d2",47,21,50,1,60,19
"d6877055",21,21,25,5,67,19
"57fb797b",26,5,0,0.5,100,19
"a0500f88",73,20,67,8,25,19
"4dd825b2",73,45,0,3,0,11
"47e1f482",49,34,19,1,44,47
"4a506d11",21,12,33,5,50,24
